HAGRID#	Family	Genus_species	Common name	Adult mass (g)	Log Mass	Longevity (yrs)	Log Longevity	Pred log long	Pred longevity	Longevity Quotient	Longevity residual	Source (AnAge or Pers comm)	Data origin	Data quality (AnAge)	Cave roost	Cave use sometimes or always	Hibernation	Abs(Median latitude)	Births/yr	Litter size	Prog/yr	Colony Size	Log Col size	Diet	N-TLF	N-TLM	TL-Female (mm)	TL-Male (mm)	TL-FSD	TL-MSD	TL dimorph
1985	Phyllostomidae	Anoura_geoffroyi	Geoffroy's tailless bat	15.2	1.182	10	1.000	0.782	6.049	1.653	0.218	671	captivity	acceptable	always	Yes	No	0	2	1	2	10000	4.000	plant	106	154	67.68	67.57	5.01	4.75	-0.002
2029	Vespertilionidae	Antrozous_pallidus	Pallid bat	20.8	1.318	14.8	1.170	0.807	6.414	2.307	0.363	671	captivity	acceptable	sometimes	Yes	Yes	35	1	1.75	1.75	60	1.778	animal	398	306	112.43	109.45	8.81	8.75	-0.039
1986	Phyllostomidae	Artibeus_jamaicensis	Jamaican fruit-eating bat	42.2	1.625	19.2	1.283	0.865	7.320	2.623	0.419	671	captivity	acceptable	sometimes	Yes	No	0	2	1	2	20	1.301	plant	803	741	84.44	82.80	6.28	6.82	-0.028
1987	Phyllostomidae	Artibeus_lituratus	Great fruit-eating bat	65.0	1.813	10.9	1.037	0.900	7.935	1.374	0.138		unknown	low	never	No	No	0	2	1	2	5	0.699	plant	1963	1598	94.40	91.33	5.03	5.66	-0.048
2030	Vespertilionidae	Barbastella_barbastellus	Western barbastelle	10.3	1.011	23	1.362	0.750	5.620	4.093	0.612	424	wild	acceptable	sometimes	Yes	Yes	42	1	1.75	1.75	20	1.301	animal	1	1	98.40	96.00			-0.036
1988	Phyllostomidae	Carollia_perspicillata	Seba's short-tailed bat	15.0	1.176	17	1.230	0.781	6.034	2.817	0.450	671	captivity	high	sometimes	Yes	No	0	2	1	2	100	2.000	plant	649	659	69.26	69.94	5.19	6.01	0.014
2032	Vespertilionidae	Corynorhinus_townsendii	Townsend's big-eared bat	14.3	1.154	20.5	1.312	0.776	5.977	3.430	0.535	424	wild	acceptable	sometimes	Yes	Yes	36	1	1	1	50	1.699	animal	24	20	101.58	97.90	8.94	11.63	-0.053
1999	Pteropodidae	Cynopterus_brachyotis	Lesser short-nosed fruit bat	45.0	1.653	10.1	1.004	0.870	7.409	1.363	0.135	671	captivity	acceptable	never	No	No	10	2	1	2	10	1.000	plant	251	215	99.27	99.31	7.21	6.99	0.000
2000	Pteropodidae	Cynopterus_sphinx	Greater short-nosed fruit bat	75.0	1.875	10	1.000	0.911	8.150	1.227	0.089	671	captivity	acceptable	never	No	No	10	2	1	2	5	0.699	plant	132	118	110.56	111.39	11.31	11.28	0.011
1989	Phyllostomidae	Desmodus_rotundus	Vampire bat	33.2	1.521	29.9	1.476	0.845	6.999	4.272	0.631	G.  Carter	captivity	acceptable	sometimes	Yes	No	5	1	1	1	100	2.000	animal	505	483	81.79	77.42	6.05	5.88	-0.079
1990	Phyllostomidae	Diphylla_ecaudata	Hairy-legged vampire bat	28.0	1.447	8	0.903	0.831	6.780	1.180	0.072	974	wild	acceptable	always	Yes	No	0	1	1	1	100	2.000	plant	18	18	78.50	76.26	4.27	3.65	-0.042
2001	Pteropodidae	Dobsonia_moluccensis	Moluccan naked-backed fruit bat	430.0	2.633	12.3	1.090	1.053	11.294	1.089	0.037	671	captivity	acceptable	sometimes	Yes	No	5	1	1	1	2000	3.301	plant	3	1	191.00	230.00	33.81		0.268
2002	Pteropodidae	Eidolon_helvum	Straw-colored fruit bat	306.3	2.486	21.8	1.338	1.025	10.600	2.057	0.313	671	captivity	acceptable	sometimes	Yes	No	10	1	1	1	50000	4.699	plant	85	135	185.20	194.79	19.54	15.86	0.073
2003	Pteropodidae	Epomophorus_gambianus	Gambian epauletted fruit bat	80.0	1.903	7.8	0.892	0.916	8.249	0.946	-0.024	671	captivity	acceptable	never	No	No	5	2	1	2	100	2.000	plant	515	365	143.63	157.34	11.12	17.34	0.132
2004	Pteropodidae	Epomophorus_wahlbergi	Wahlberg's epauletted fruit bat	80.0	1.903	10.1	1.004	0.916	8.249	1.224	0.088	671	captivity	acceptable	never	No	No	15	2	1	2	50	1.699	plant	88	84	132.20	142.21	10.62	16.00	0.105
2033	Vespertilionidae	Eptesicus_fuscus	Big brown bat	23.0	1.362	21	1.322	0.815	6.536	3.213	0.507	424	wild	acceptable	sometimes	Yes	Yes	30	1	1.59	1.59	50	1.699	animal	351	349	114.77	111.67	7.95	9.82	-0.040
2034	Vespertilionidae	Eptesicus_nilssonii	Northern bat	13.0	1.114	20	1.301	0.769	5.875	3.404	0.532	970	wild	acceptable	sometimes	Yes	Yes	56	1	1.51	1.51	40	1.602	animal	2	1	59.00	51.00			-0.210
2035	Vespertilionidae	Eptesicus_serotinus	Serotine	18.2	1.260	21	1.322	0.796	6.256	3.357	0.526	970	wild	acceptable	sometimes	Yes	Yes	40	1	1.5	1.5	20	1.301	animal	32	15	127.10	118.20	7.79	14.00	-0.105
